Date,AAVE,ADA,ALGO,ATOM,AVAX,BNB,BTC,DOGE,DOT,ETH,FIL,LINK,LTC,MATIC,SOL,TRX,UNI,VET,XLM,XRP,fg_raw
2022-10-09,75.48722839355469,0.4230720102787018,0.3387050032615661,13.204748153686523,16.903053283691406,278.2380676269531,19446.42578125,0.0621559992432594,6.475232124328613,1322.604248046875,5.431464195251465,7.62626314163208,53.910037994384766,0.8253769874572754,32.91388320922852,0.0624269992113113,3.899999865097925e-05,0.0231289993971586,0.1288399994373321,0.5340610146522522,22.0
2022-10-10,73.7476806640625,0.4018009901046753,0.320154994726181,12.465967178344728,16.238502502441406,271.8060607910156,19141.484375,0.0595129989087581,6.2617621421813965,1291.337646484375,5.156588077545166,7.381631851196289,52.75587463378906,0.815284013748169,31.970834732055664,0.0628319978713989,3.7999998312443495e-05,0.0227889996021986,0.1238130033016204,0.4970139861106872,22.0
2022-10-11,71.46163940429688,0.3905400037765503,0.3173950016498565,12.163220405578612,15.951668739318848,271.37139892578125,19051.41796875,0.060258001089096,6.179375171661377,1279.57568359375,5.129609107971191,7.128554821014404,52.0184211730957,0.7905439734458923,30.77686882019043,0.0616270005702972,3.7999998312443495e-05,0.022741999477148,0.1159920021891594,0.4853970110416412,24.0
2022-10-12,71.64986419677734,0.3813000023365021,0.3143059909343719,11.75068473815918,15.961630821228027,270.97100830078125,19157.4453125,0.0598810017108917,6.176181793212891,1294.9063720703125,5.145175933837891,7.149956226348877,52.22134780883789,0.784313976764679,31.16548538208008,0.0617760010063648,3.7999998312443495e-05,0.0228029992431402,0.1163899973034858,0.4883700013160705,20.0
2022-10-13,71.10077667236328,0.3776380121707916,0.3193149864673614,11.356224060058594,15.671713829040527,271.8514099121094,19382.904296875,0.059673998504877,6.116868019104004,1288.1239013671875,5.137164115905762,7.038730144500732,51.24348449707031,0.7758209705352783,30.54451942443848,0.0610090009868145,3.899999865097925e-05,0.0230439994484186,0.1121150031685829,0.4808120131492615,20.0
2022-10-14,72.9146728515625,0.3668510019779205,0.3173370063304901,11.636063575744627,15.68238353729248,269.5671691894531,19185.65625,0.0586429983377456,6.044194221496582,1297.422119140625,5.066583156585693,6.896554946899414,51.3155632019043,0.7927230000495911,30.007417678833008,0.0639410018920898,3.7999998312443495e-05,0.0228230003267526,0.1124510020017623,0.4889659881591797,24.0
2022-10-15,71.9493408203125,0.3637439906597137,0.3192850053310394,11.52592658996582,15.440478324890137,268.4040832519531,19067.634765625,0.0585799999535083,6.052940845489502,1274.8717041015625,5.1848578453063965,6.886902809143066,50.469181060791016,0.7901009917259216,29.575347900390625,0.0618229992687702,3.7999998312443495e-05,0.0227729994803667,0.1118889972567558,0.4815070033073425,24.0
2022-10-16,75.87584686279297,0.3702810108661651,0.3226720094680786,11.712130546569824,15.755318641662598,272.5199584960937,19268.09375,0.0589139983057975,6.18602991104126,1306.296630859375,5.153086185455322,7.175411224365234,51.480918884277344,0.7995629906654358,30.168840408325195,0.0618209987878799,3.899999865097925e-05,0.0229299999773502,0.113486997783184,0.4770100116729736,24.0
2022-10-17,78.97057342529297,0.3723450005054474,0.3301140069961548,12.428784370422363,16.18509864807129,275.5125732421875,19550.7578125,0.0599349997937679,6.2531352043151855,1331.713623046875,5.256277084350586,7.333412170410156,51.84383773803711,0.847258985042572,31.224876403808597,0.0626650005578994,3.899999865097925e-05,0.0233110003173351,0.114266999065876,0.4799180030822754,20.0
2022-10-18,82.48274993896484,0.3618200123310089,0.3195010125637054,12.515144348144531,15.871760368347168,273.2145690917969,19334.416015625,0.0597760006785392,6.15846586227417,1310.447021484375,5.127111911773682,7.117894172668457,51.87700271606445,0.8645099997520447,30.164331436157227,0.062169998884201,3.899999865097925e-05,0.0230229999870061,0.1124339997768402,0.4659770131111145,22.0
